patch_url,download_link,mission_name,description
https://www.nasa.gov/image-detail/mercury-3-2/,https://www.nasa.gov/wp-content/uploads/2023/09/mercury-3.jpeg,Mercury 3 Patch,The main objective of Mercury 3 was to determine man’s capabilities in a space environment. This was a suborbital flight that successfully put the first American in space.
https://www.nasa.gov/image-detail/mercury-4/,https://www.nasa.gov/wp-content/uploads/2023/09/mercury-4.jpg,mercury-4,
https://www.nasa.gov/image-detail/mercury-6/,https://www.nasa.gov/wp-content/uploads/2023/09/mercury-6.jpeg,mercury-6,
https://www.nasa.gov/image-detail/aurora-7-patch/,https://www.nasa.gov/wp-content/uploads/2023/03/aurora-7-patch.jpg,aurora-7-patch,"The mission patch for Mercury-Atlas 7 (Aurora 7) flown on May 24, 1962."
https://www.nasa.gov/image-detail/sigma-7-patch/,https://www.nasa.gov/wp-content/uploads/2023/04/sigma-7-patch.jpg,Mercury 8 mission patch,Mission patch for the Mercury-Atlas 8 mission (Sigma 7) flown by Wally Schirra
https://www.nasa.gov/image-detail/mercury-9-patch/,https://www.nasa.gov/wp-content/uploads/2023/03/mercury-9-patch.jpg,Mercury-Atlas 9 mission patch,"Mission patch for the Mercury-Atlas 9, also known as Faith 7 mission."
https://www.nasa.gov/image-detail/amf-s65-54354/,https://images-assets.nasa.gov/image/S65-54354/S65-54354~large.jpg?w=1920&h=1911&fit=clip&crop=faces%2Cfocalpoint,GEMINI- INSIGNIA – SPACE PROGRAM – MSC,"S65-54354 (30 Aug. 1965) --- The insignia of the Gemini Space Program is a disc of dark blue as a background for a gold Zodiac Gemini symbol. A white star on each of the two vertical curves of the Gemini symbol represent the Gemini twins, Pollux and Castor.    The NASA insignia design for Gemini flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/gemini-3-patch/,https://www.nasa.gov/wp-content/uploads/2023/04/gemini-3-patch.jpg,Gemini III mission patch,"Gemini III mission patch featuring the spacecraft name, Molly Brown, as well as the names of its prime crew members: Gus Grissom and John Young."
https://www.nasa.gov/image-detail/gemini-4-patch/,https://www.nasa.gov/wp-content/uploads/2023/04/gemini-4-patch.jpg,Gemini IV mission patch,"Mission patch for Gemini IV, crewed by James McDivitt and Ed White"
https://www.nasa.gov/image-detail/gemini-5-patch/,https://www.nasa.gov/wp-content/uploads/2023/04/gemini-5-patch.jpg,Gemini V mission patch,"Mission patch for the Gemini V mission flown by  L. Gordon Cooper, Jr. (Commander), Charles Conrad, Jr. (Pilot)."
https://www.nasa.gov/image-detail/amf-s65-55983/,https://images-assets.nasa.gov/image/S65-55983/S65-55983~large.jpg?w=1920&h=1536&fit=clip&crop=faces%2Cfocalpoint,GEMINI-TITAN (GT)-6 – INSIGNIA (PATCH) – MSC,"S65-55983 (8 Dec. 1965) --- This hexagonal-shaped insignia is the emblem of the Gemini-6 spaceflight. Astronauts Walter M. Schirra Jr., command pilot; and Thomas P. Stafford, pilot, are the prime crew. The National Aeronautics and Space Administration (NASA) has scheduled Gemini-6 as a two-day mission. Photo credit: NASA or National Aeronautics and Space Administration"
https://www.nasa.gov/image-detail/amf-s65-54129/,https://images-assets.nasa.gov/image/S65-54129/S65-54129~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,GEMINI 7 – INSIGNIA – EMBLEM – PATCH – MSC,"S65-54129 (November 1965) --- Design for the emblem of the Gemini VII spaceflight. At left of hand-held torch is a Gemini spacecraft. Roman numeral indicates the seventh flight in the Gemini series. Prime crew men for the mission are astronauts Frank Borman, command pilot, and James A. Lovell Jr., pilot.    The NASA insignia design for Gemini flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s66-23978/,https://images-assets.nasa.gov/image/S66-23978/S66-23978~large.jpg?w=1856&h=1920&fit=clip&crop=faces%2Cfocalpoint,GEMINI-TITAN (GT)-8 Insignia,"S66-23978 (March 1966) --- Color design for the emblem of the Gemini-8 spaceflight. Roman numeral indicates the eighth flight in the Gemini series. Prime crewmen for the mission are astronauts Neil A. Armstrong, command pilot; and David R. Scott, pilot.    The NASA insignia design for Gemini flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/amf-s66-28075/,https://images-assets.nasa.gov/image/S66-28075/S66-28075~large.jpg?w=1920&h=1368&fit=clip&crop=faces%2Cfocalpoint,GEMINI-TITAN (GT)-9 – INSIGNIA – MSC,"S66-28075 (May 1966) --- Insignia of the Gemini IX spaceflight. Roman numeral indicates ninth flight in the Gemini series. Two spacecraft symbolize rendezvous and docking of Gemini with an Agena. Astronaut and umbilical (tether) line denote planned extravehicular activity (EVA). Astronauts Thomas P. Stafford, command pilot, and Eugene A. Cernan, pilot, are members of the Gemini IX prime crew.    The NASA insignia design for Gemini flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/gemini_x_2_crew_patch/,https://www.nasa.gov/wp-content/uploads/2021/07/gemini_x_2_crew_patch.png,Gemini X Crew Patch,The Gemini X patch
https://www.nasa.gov/image-detail/amf-s66-44308/,https://images-assets.nasa.gov/image/S66-44308/S66-44308~large.jpg?w=1536&h=1920&fit=clip&crop=faces%2Cfocalpoint,GEMINI-TITAN (GT)-11 insignia,"S66-44308 (September 1966) --- Insignia of the Gemini-Titan XI (GT-11) spaceflight. Roman numeral indicates eleventh flight in the Gemini series. Two spacecraft symbolize rendezvous and docking of Gemini with an Agena. Astronaut and umbilical (tether) line denotes planned extravehicular activity. Astronauts Charles Conrad Jr., command pilot, and Richard F. Gordon Jr., pilot, are members of the Gemini-11 prime crew.     The NASA insignia design for Gemini flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced. Photo credit: NASA"
https://www.nasa.gov/image-detail/gemini_xii_2_crew_patch_s66-51710/,https://www.nasa.gov/wp-content/uploads/2021/11/gemini_xii_2_crew_patch_s66-51710.jpg,Gemini XII Crew Patch,"s66-51710: The Gemini XII Crew Patch features the Gemini capsule, the last names of the crew (Lovell and Aldrin) and the roman numeral 12."
https://www.nasa.gov/image-detail/amf-7995383/,https://images-assets.nasa.gov/image/7995383/7995383~large.jpg?w=1426&h=1920&fit=clip&crop=faces%2Cfocalpoint,Saturn Apollo Program,"This montage depicts the flight crew patches for the manned Apollo 7 thru Apollo 17 missions.  The Apollo 7 through 10 missions were basically manned test flights that paved the way for lunar landing missions. Primary objectives met included the demonstration of the Command Service Module (CSM) crew performance; crew/space vehicle/mission support facilities performance and testing during a manned CSM mission; CSM rendezvous capability; translunar injection demonstration; the first manned Apollo docking, the first Apollo Extra Vehicular Activity (EVA), performance of the first manned flight of the lunar module (LM); the CSM-LM docking in translunar trajectory, LM undocking in lunar orbit, LM staging in lunar orbit, and manned LM-CSM docking in lunar orbit. Apollo 11 through 17 were lunar landing missions with the exception of Apollo 13 which was forced to circle the moon without landing due to an onboard explosion. The craft was,however, able to return to Earth safely. Apollo 11 was the first manned lunar landing mission and performed the first lunar surface EVA. Landing site was the Sea of Tranquility. A message for mankind was delivered, the U.S. flag was planted, experiments were set up and 47 pounds of lunar surface material was collected for analysis back on Earth.  Apollo 12, the 2nd manned lunar landing mission landed in the Ocean of Storms and retrieved parts of the unmanned Surveyor 3, which had landed on the Moon in April 1967. The Apollo Lunar Surface Experiments Package (ALSEP) was deployed, and 75 pounds of lunar material was gathered. Apollo 14, the 3rd lunar landing mission landed in Fra Mauro. ALSEP and other instruments were deployed, and 94 pounds of lunar materials were gathered, using a hand cart for first time to transport rocks. Apollo 15, the 4th lunar landing mission landed in the Hadley-Apennine region. With the first use of the Lunar Roving Vehicle (LRV), the crew was bale to gather 169 pounds of lunar material. Apollo 16, the 5th lunar landing mission, landed in the Descartes Highlands for the first study of highlands area. Selected surface experiments were deployed, the ultraviolet camera/spectrograph was used for first time on the Moon, and the LRV was used for second time for a collection of 213 pounds of lunar material. The Apollo program came to a close with Apollo 17, the 6th and final manned lunar landing mission that landed in the Taurus-Littrow highlands and valley area. This mission hosted the first scientist-astronaut, Schmitt, to land on the Moon. The 6th automated research station was set up, and 243 ponds of lunar material was gathered using the LRV."
https://www.nasa.gov/image-detail/amf-s66-36742/,https://images-assets.nasa.gov/image/S66-36742/S66-36742~large.jpg?w=1854&h=1920&fit=clip&crop=faces%2Cfocalpoint,APOLLO-SATURN (AS)-204 INSIGNIA – MSC,"S66-36742 (1966) --- This is the insignia for the National Aeronautics and Space Administration's (NASA) Apollo 1 mission, the first manned Apollo flight. Crew members are astronauts Virgil I. Grissom, Edward H. White II and Roger B. Chaffee.     The NASA insignia design for Apollo flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced.     EDITOR'S NOTE: The three astronauts lost their lives in a fire during a simulation on the launch pad on Jan. 27, 1967."
https://www.nasa.gov/image-detail/amf-s68-26668/,https://images-assets.nasa.gov/image/S68-26668/S68-26668~large.jpg?w=1920&h=1524&fit=clip&crop=faces%2Cfocalpoint,Official Emblem – Apollo 7 – First (1st) Manned Apollo Space Mission,"S68-26668 (June 1968) --- The official emblem of Apollo 7, the first manned Apollo space mission. The crew will consist of astronauts Walter M. Schirra Jr., Donn F. Eisele, and Walter Cunningham.     The NASA insignia design for Apollo flights is reserved for use by the astronauts and for the official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/s68-51093/,https://www.nasa.gov/wp-content/uploads/2017/12/s68-51093.jpg,Apollo 8 Mission Patch,"The Apollo 8 mission patch. Apollo 8 was the first mission to orbit the moon, making Borman, Anders and Lovell the first humans to see the far side of the moon. They conducted lunar landing site tracking while in orbit for future missions to the moon."
https://www.nasa.gov/image-detail/amf-s69-18569/,https://images-assets.nasa.gov/image/S69-18569/S69-18569~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,Emblem – Apollo 9 Space Mission,"S69-18569 (February 1969) --- The insignia of the Apollo 9 space mission. The crew consist of astronauts James A. McDivitt, commander; David R. Scott, command module pilot; and Russell L. Schweickart, lunar module pilot. The Apollo 9 mission will evaluate spacecraft lunar module systems performance during manned Earth-orbital flight.     The NASA insignia design for Apollo flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/apollo_10_patch_s69-31959/,https://www.nasa.gov/wp-content/uploads/2019/05/apollo_10_patch_s69-31959.jpg,Apollo 10 Crew Patch,"s69-31959: The shield-shaped Apollo 10 crew patch features the names of its prime crew: Stafford, Young and Cernan."
https://www.nasa.gov/image-detail/amf-s69-34875/,https://images-assets.nasa.gov/image/S69-34875/S69-34875~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,OFFICIAL EMBLEM – APOLLO 11 – FIRST (1st) SCHEDULED LUNAR LANDING MISSION,"S69-34875 (June 1969) --- The official emblem of Apollo 11, the United States' first scheduled lunar landing mission. The Apollo 11 crew will be astronauts Neil A. Armstrong, commander; Michael Collins, command module pilot; and Edwin E. Aldrin Jr., lunar module pilot.    The NASA insignia design for Apollo flights is reserved for use by the astronauts and for the official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/amf-s69-52336/,https://images-assets.nasa.gov/image/S69-52336/S69-52336~large.jpg?w=1883&h=1920&fit=clip&crop=faces%2Cfocalpoint,Official insignia of Apollo 12,"S69-52336 (September 1969) --- This is the official crew insignia for Apollo 12, the United States? second lunar landing mission. Crew members are astronauts Charles Conrad Jr., commander; Richard F. Gordon Jr., command module pilot; and Alan L. Bean, lunar module pilot. The clipper ship signifies that the crew is all Navy and symbolically relates the era of the clipper ship to the era of space flight. As the clipper ship brought foreign shores closer to the United States and marked the increased utilization of the seas by this nation, spacecraft have opened the way to the other planets and Apollo 12 marks the increased utilization of space-based on knowledge gained in earlier missions. The portion of the moon shown is representative of the Ocean of Storms area in which Apollo 12 will land. The NASA insignia design for Apollo flights is reserved for use by the astronauts and for other official use as the NASA Administrator may authorize. Public availability has been approved only in the form of illustrations by the various news media. When and if there is any change in this policy, which we do not anticipate, it will be publicly announced."
https://www.nasa.gov/image-detail/amf-s69-60662/,https://images-assets.nasa.gov/image/S69-60662/S69-60662~large.jpg?w=1920&h=1920&fit=clip&crop=faces%2Cfocalpoint,Apollo 13 Emblem,"S69-60662 (December 1969) --- This is the insignia of the Apollo 13 lunar landing mission.  The Apollo 13 prime crew will be astronauts James A. Lovell Jr., commander; Thomas K. Mattingly II, command module pilot; and Fred W. Haise Jr., lunar module pilot.  Represented in the Apollo 13 emblem is Apollo, the sun god of Greek mythology, symbolizing how the Apollo flights have extended the light of knowledge to all mankind.  The Latin phrase Ex Luna, Scientia means ""From the Moon, Knowledge.""  Apollo 13 will be the National Aeronautics and Space Administration's (NASA) third lunar landing mission."
