patch_url,mission_name,description,launch_date
http://www.seasky.org/space-exploration/assets/patches/Mercury-3.png,MR-3 Freedom 7,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","May 5, 1961"
http://www.seasky.org/space-exploration/assets/patches/Mercury-4.png,MR-4 Liberty Bell 7,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","July 21, 1961"
http://www.seasky.org/space-exploration/assets/patches/Mercury-6.png,MA-6 Friendship 7,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","February 20, 1962"
http://www.seasky.org/space-exploration/assets/patches/Mercury-7.png,MA-7 Aurora,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","May 24, 1962"
http://www.seasky.org/space-exploration/assets/patches/Mercury-8.png,MA-8 Sigma 7,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","October 3, 1962"
http://www.seasky.org/space-exploration/assets/patches/Mercury-9.png,MA-9 Faith 7,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.","May 15, 1963"
http://www.seasky.org/space-exploration/assets/patches/spacer.png,,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.",
http://www.seasky.org/space-exploration/assets/patches/Mercury.png,Project Mercury,"Project Mercurywas the first American human spaceflight program. It consisted of 6 manned flights from 1961 to 1963. The first flight of project Mercury was MR-3, also known as Freedom 7. It carried Alan Shepard to fame as the first American in space on May 5, 1961. On February 20, 1962, John Glenn became the first American in orbit aboard Friendship 7, mission MA-6. The Mercury program came to a close on May 15, 1963 with the launch of Gordon Cooper in MA-9, also known as Faith 7. The Mercury program laid the groundwork for upcoming missions such as Project Gemini and the Apollo  program.",
http://www.seasky.org/space-exploration/assets/patches/Gemini-3.png,Gemini 3,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","March 23, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-3a.png,Gemini 3,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","March 23, 1965"
http://www.seasky.org/space-exploration/assets/patches/Gemini-4.png,Gemini 4,"Project Geminiwas America's second manned space program. It consisted of 10 manned missions from 1965 to 1966. The purpose of these flights was to develop and text technologies and procedures in preparation for the upcoming Apollo missions to the Moon. The first flight of project Gemini was Gemini 3. Astronauts Virgil ""Gus"" Grissom and John Young tested the maneuverability of the new spacecraft during 3 orbits. During Gemini 4, astronaut Edward White became the first American to walk outside the spacecraft. Gemini 5 featured the first use of an embroidered mission insignia on an astronaut uniform. Mission patches became standard on all future manned space flights. Other Gemini missions tested vehicle docking procedures which would be critical for the upcoming Apollo program. The Gemini program came to a close with the launch of Gemini 12 on November 11, 1966. The Gemini program paved the way for the Apollo program, which would take the first humans to the Moon.","June 3, 1965"
